(6, 54872, 54509, 53689, array([-7632.,   160.,  3552.]), array([-24807.,   -612.,  15012.]), array([ 389.,  -29.,   18.]))
(6, 56297, 55511, 53689, array([-7456.,   -32.,  3952.]), array([-31216.,   -612., -19706.]), array([ 389.,  -29.,   18.]))
(6, 57246, 57515, 53689, array([-7376.,   -48.,  4016.]), array([ 4518.,  1838.,   203.]), array([ 389.,  -29.,   18.]))
(6, 58670, 58517, 57729, array([-7344.,   -96.,  4000.]), array([ 4461.,  1973.,   204.]), array([ 411.,  202.,  -28.]))
(6, 59619, 59519, 57729, array([-7376.,   -80.,  3968.]), array([ 4500.,  1971.,   196.]), array([ 411.,  202.,  -28.]))
(6, 60568, 60520, 60275, array([-7392.,   -16.,  4048.]), array([ 4489.,  1993.,   214.]), array([ 411.,  211.,  -25.]))
(6, 61997, 61522, 60275, array([-7392.,   -96.,  4016.]), array([ 4500.,  1999.,   214.]), array([ 411.,  211.,  -25.]))
(6, 62945, 62524, 62821, array([-7312.,  -160.,  4016.]), array([ 4537.,  1994.,   203.]), array([ 411.,  217.,  -25.]))
(6, 63894, 63526, 62821, array([-7392.,   -64.,  4000.]), array([ 4525.,  1973.,   228.]), array([ 411.,  217.,  -25.]))
(6, 65318, 64528, 65367, array([-7424.,   -48.,  3952.]), array([ 4540.,  1998.,   218.]), array([ 404.,  229.,  -37.]))
(6, 731, 277, 65367, array([-7360.,   -48.,  4016.]), array([ 4581.,  1997., -5490.]), array([ 404.,  229.,  -37.]))
(6, 2154, 1279, 65367, array([-7392.,  -144.,  3792.]), array([  -320.,  27662.,   5704.]), array([ 404.,  229.,  -37.]))
(6, 3103, 3284, 2376, array([-7472.,  -144.,  3872.]), array([ 4366.,  1802.,   224.]), array([ 404.,  233.,  -37.]))
(6, 4053, 4291, 2376, array([-7552.,   -80.,  3968.]), array([ 4715.,  2009.,    97.]), array([ 404.,  233.,  -37.]))
(6, 5477, 5299, 4921, array([-7520.,   -96.,  3904.]), array([ 4927.,  1985.,  -257.]), array([ 402.,  248.,  -44.]))
(6, 6426, 6307, 4921, array([-7472.,   -32.,  4032.]), array([ 5166.,  1927.,  -473.]), array([ 402.,  248.,  -44.]))
(6, 7375, 7315, 7466, array([-7504.,   -96.,  3984.]), array([ 5431.,  1876.,  -734.]), array([ 399.,  254.,  -49.]))
(6, 8799, 8322, 7466, array([-7488.,   -48.,  3952.]), array([ 5956.,  1835., -1104.]), array([ 399.,  254.,  -49.]))
(6, 9748, 9330, 10010, array([-7504.,   -64.,  3984.]), array([ 6545.,  1750., -1594.]), array([ 394.,  263.,  -50.]))
(6, 12125, 11346, 10010, array([-7504.,   -64.,  3968.]), array([ 7160.,  1412., -2658.]), array([ 394.,  263.,  -50.]))
(6, 13075, 13362, 12556, array([-7568.,  -128.,  3888.]), array([ 7491.,  1071., -3583.]), array([ 389.,  270.,  -58.]))
(6, 14503, 14370, 12556, array([-7488.,  -128.,  3888.]), array([ 7589.,   917., -3964.]), array([ 389.,  270.,  -58.]))
(6, 15453, 15377, 15100, array([-7552.,  -128.,  3936.]), array([ 7701.,   796., -4398.]), array([ 387.,  276.,  -64.]))
(6, 16402, 16386, 15100, array([-7520.,   -16.,  3904.]), array([ 7808.,   678., -4833.]), array([ 387.,  276.,  -64.]))
(6, 17834, 17394, 17645, array([-7520.,  -160.,  3824.]), array([ 7066.,   529., -5020.]), array([ 380.,  283.,  -71.]))
(6, 18783, 18402, 17645, array([-7488.,  -192.,  3824.]), array([ 6344.,   472., -4898.]), array([ 380.,  283.,  -71.]))
(6, 19741, 19410, 17645, array([-7472.,  -192.,  3904.]), array([ 6467.,   579., -4875.]), array([ 380.,  283.,  -71.]))
(6, 21165, 20418, 20190, array([-7472.,  -144.,  3952.]), array([ 6526.,   563., -4896.]), array([ 379.,  289.,  -75.]))
(6, 22114, 21426, 20190, array([-7520.,   -80.,  3840.]), array([ 6435.,   567., -4959.]), array([ 379.,  289.,  -75.]))
(6, 24491, 24450, 22735, array([-7552.,   -96.,  3776.]), array([ 6520.,   567., -4889.]), array([ 375.,  294.,  -79.]))
(6, 25449, 25458, 25281, array([-7504.,   -80.,  3872.]), array([ 6564.,   600., -4857.]), array([ 369.,  301.,  -87.]))
(6, 26872, 26465, 25281, array([-7520.,  -160.,  3824.]), array([ 6527.,   581., -4872.]), array([ 369.,  301.,  -87.]))
(6, 27822, 27474, 27827, array([-7488.,   -16.,  3840.]), array([ 6490.,   564., -4940.]), array([ 360.,  305.,  -96.]))
(6, 28771, 28482, 27827, array([-7504.,   -16.,  3824.]), array([ 6494.,   570., -4941.]), array([ 360.,  305.,  -96.]))
(6, 30195, 29489, 27827, array([-7536.,  -176.,  3728.]), array([ 6516.,   582., -4905.]), array([ 360.,  305.,  -96.]))
(6, 31144, 30497, 30373, array([-7504.,  -176.,  3792.]), array([ 6598.,   593., -4852.]), array([ 360.,  310., -104.]))
(6, 32092, 32513, 30373, array([-7584.,  -192.,  3840.]), array([ 6584.,   594., -4898.]), array([ 360.,  310., -104.]))
(6, 33516, 33521, 32919, array([-7552.,  -192.,  3792.]), array([ 6550.,   586., -4944.]), array([ 351.,  316., -104.]))
(6, 34465, 34529, 32919, array([-7536.,  -160.,  3792.]), array([ 6524.,   595., -4982.]), array([ 351.,  316., -104.]))
(6, 35888, 35537, 35464, array([-7600.,  -176.,  3920.]), array([ 6539.,   572., -4943.]), array([ 344.,  322., -115.]))
(6, 36838, 36545, 35464, array([-7584.,  -336.,  3824.]), array([ 6610.,   597., -4903.]), array([ 344.,  322., -115.]))
(6, 37787, 37553, 38010, array([-7664.,  -320.,  3872.]), array([ 6570.,   611., -4924.]), array([ 344.,  324., -115.]))
(6, 39211, 38561, 38010, array([-7632.,  -160.,  3904.]), array([ 6537.,   609., -4996.]), array([ 344.,  324., -115.]))
(6, 40160, 39569, 38010, array([-7552.,  -176.,  3856.]), array([ 6462.,   580., -5068.]), array([ 344.,  324., -115.]))
(6, 41109, 40577, 40555, array([-7648.,   -80.,  3904.]), array([ 6486.,   557., -5057.]), array([ 340.,  331., -122.]))
(6, 42533, 42594, 40555, array([-7632.,  -224.,  3840.]), array([ 6607.,   526., -4942.]), array([ 340.,  331., -122.]))
(6, 43486, 43602, 43101, array([-7616.,  -208.,  3920.]), array([ 6580.,   513., -4994.]), array([ 336.,  329., -129.]))
(6, 44910, 44609, 43101, array([-7632.,  -176.,  3840.]), array([ 6510.,   528., -5076.]), array([ 336.,  329., -129.]))
(6, 45858, 45618, 45646, array([-7568.,  -144.,  3696.]), array([ 6528.,   536., -5066.]), array([ 332.,  333., -132.]))
(6, 46807, 46626, 45646, array([-7584.,  -112.,  3792.]), array([ 6580.,   539., -4973.]), array([ 332.,  333., -132.]))
(6, 48230, 47634, 48192, array([-7520.,  -288.,  3728.]), array([ 6634.,   509., -4908.]), array([ 319.,  336., -141.]))
(6, 49180, 48642, 48192, array([-7568.,  -304.,  3728.]), array([ 6678.,   523., -4904.]), array([ 319.,  336., -141.]))
(6, 50129, 49650, 48192, array([-7456.,  -208.,  3696.]), array([ 6588.,   521., -4994.]), array([ 319.,  336., -141.]))
(6, 51552, 51666, 50738, array([-7472.,  -272.,  3616.]), array([ 6561.,   523., -5054.]), array([ 319.,  341., -149.]))
(6, 52501, 52674, 50738, array([-7472.,  -368.,  3648.]), array([ 6584.,   531., -4999.]), array([ 319.,  341., -149.]))
