(6, 14024, 13661, 12243, array([-7920.,   528.,   592.]), array([ -9711., -11681.,   8850.]), array([ 306.,  302., -159.]))
(6, 15450, 14662, 12243, array([-7904.,  1312.,   432.]), array([  4748., -11681.,  -8221.]), array([ 306.,  302., -159.]))
(6, 16399, 16667, 12243, array([-7952.,  1312.,   352.]), array([ 4502.,  1856.,   233.]), array([ 306.,  302., -159.]))
(6, 17822, 17669, 16882, array([-7920.,  1136.,   256.]), array([ 4501.,  2000.,   238.]), array([ 307.,  221.,  119.]))
(6, 18771, 18671, 16882, array([-7776.,  1104.,   304.]), array([ 4531.,  1969.,   228.]), array([ 307.,  221.,  119.]))
(6, 19721, 19673, 19427, array([-7872.,  1168.,   256.]), array([ 4509.,  1993.,   234.]), array([ 307.,  230.,  113.]))
(6, 21145, 20675, 19427, array([-7936.,  1184.,   256.]), array([ 4536.,  1985.,   201.]), array([ 307.,  230.,  113.]))
(6, 22094, 21677, 21972, array([-7824.,  1232.,   304.]), array([ 4582.,  1995.,   223.]), array([ 307.,  238.,  113.]))
(6, 23042, 22680, 21972, array([-7856.,  1280.,   240.]), array([ 4489.,  1983.,   221.]), array([ 307.,  238.,  113.]))
(6, 24465, 23682, 24516, array([-7904.,  1424.,   192.]), array([ 4566.,  1986.,   222.]), array([ 307.,  241.,   94.]))
(6, 25414, 25691, 24516, array([-7840.,  1376.,   304.]), array([ 4565.,  2000.,   193.]), array([ 307.,  241.,   94.]))
(6, 26838, 26699, 24516, array([-7920.,  1168.,   240.]), array([ 4565.,  1928.,   177.]), array([ 307.,  241.,   94.]))
(6, 27786, 27706, 27061, array([-7920.,  1184.,   272.]), array([ 4756.,  1934.,   179.]), array([ 311.,  248.,   94.]))
(6, 28735, 28714, 27061, array([-7840.,  1200.,   288.]), array([ 4961.,  1913.,   158.]), array([ 311.,  248.,   94.]))
(6, 30159, 29722, 29605, array([-7888.,  1136.,   208.]), array([ 5188.,  1861.,   135.]), array([ 309.,  254.,   85.]))
(6, 31108, 30730, 29605, array([-7856.,  1040.,   192.]), array([ 5593.,  1783.,   111.]), array([ 309.,  254.,   85.]))
(6, 32058, 31738, 32150, array([-7920.,  1104.,   288.]), array([ 6096.,  1686.,    65.]), array([ 315.,  260.,   77.]))
(6, 33481, 32745, 32150, array([-7888.,  1296.,   224.]), array([  6.84700000e+03,   1.51700000e+03,   3.00000000e+00]), array([ 315.,  260.,   77.]))
(6, 34431, 33753, 34694, array([-7904.,  1312.,   176.]), array([ 7717.,  1350.,   -50.]), array([ 311.,  264.,   68.]))
(6, 35854, 35769, 34694, array([-7904.,  1104.,   320.]), array([ 9015.,   696.,    31.]), array([ 311.,  264.,   68.]))
(6, 36803, 36777, 34694, array([-8016.,  1120.,   288.]), array([ 9507.,   305.,   109.]), array([ 311.,  264.,   68.]))
(6, 37752, 37784, 37238, array([-7920.,  1104.,   272.]), array([ 9995.,    27.,   140.]), array([ 314.,  266.,   61.]))
(6, 39175, 38792, 37238, array([-7840.,   976.,   240.]), array([ 10438.,   -257.,    211.]), array([ 314.,  266.,   61.]))
(6, 40124, 39800, 39782, array([-7904.,   976.,   192.]), array([ 10841.,   -548.,    252.]), array([ 314.,  272.,   50.]))
(6, 41073, 40808, 39782, array([-7920.,  1024.,   192.]), array([ 11194.,   -804.,    265.]), array([ 314.,  272.,   50.]))
(6, 42497, 41816, 42326, array([-7936.,  1184.,   192.]), array([ 10578.,  -1062.,    375.]), array([ 312.,  274.,   39.]))
(6, 43446, 42824, 42326, array([-7904.,  1200.,   256.]), array([ 9961., -1160.,   448.]), array([ 312.,  274.,   39.]))
(6, 44870, 44840, 42326, array([-7888.,  1120.,   208.]), array([ 9972., -1100.,   465.]), array([ 312.,  274.,   39.]))
(6, 45819, 45848, 44871, array([-7808.,  1120.,   256.]), array([ 10054.,  -1105.,    482.]), array([ 316.,  276.,   25.]))
(6, 46767, 46856, 44871, array([-7968.,  1056.,   128.]), array([ 10026.,  -1108.,    504.]), array([ 316.,  276.,   25.]))
(6, 48191, 47864, 47415, array([-7952.,   912.,   224.]), array([ 9964., -1109.,   518.]), array([ 316.,  278.,   25.]))
(6, 49140, 48872, 47415, array([-7968.,   832.,   240.]), array([ 9987., -1089.,   517.]), array([ 316.,  278.,   25.]))
(6, 50089, 49881, 49960, array([-7920.,   912.,   224.]), array([ 9990., -1078.,   459.]), array([ 315.,  283.,   12.]))
(6, 51513, 50889, 49960, array([-7920.,  1136.,   176.]), array([ 10030.,  -1112.,    416.]), array([ 315.,  283.,   12.]))
(6, 52462, 51897, 52506, array([-7920.,  1088.,   288.]), array([ 9977., -1129.,   419.]), array([ 320.,  282.,   -6.]))
(6, 53411, 52905, 52506, array([-7968.,  1056.,   288.]), array([ 9981., -1106.,   442.]), array([ 320.,  282.,   -6.]))
