name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
RESpeckT5,20140625153529.053,780243771,0,0,0.975098,0.017090,0.059570,0.000000,nan,0.000000
RESpeckT5,20140625153529.053,780243771,1,0,0.974121,0.013916,0.059814,0.000000,nan,0.000000
RESpeckT5,20140625153529.074,780243771,2,0,0.974365,0.018799,0.060791,0.000000,nan,0.000000
RESpeckT5,20140625153529.074,780243771,3,0,0.973877,0.019531,0.061768,0.000000,nan,0.000000
RESpeckT5,20140625153529.074,780243771,4,0,0.973633,0.017578,0.061768,0.000000,nan,0.000000
RESpeckT5,20140625153529.078,780243771,5,0,0.972900,0.014160,0.059814,0.000000,nan,0.000000
RESpeckT5,20140625153529.078,780243771,6,0,0.975098,0.022705,0.066895,0.000000,nan,0.000000
RESpeckT5,20140625153529.078,780243771,7,0,0.975098,0.022217,0.066406,0.000000,nan,0.000000
RESpeckT5,20140625153529.084,780243771,8,0,0.973877,0.018311,0.062256,0.000000,nan,0.000000
RESpeckT5,20140625153529.084,780243771,9,0,0.974121,0.018311,0.068115,0.000000,nan,0.000000
RESpeckT5,20140625153529.084,780243771,10,0,0.978027,0.017578,0.069336,0.000000,nan,0.000000
RESpeckT5,20140625153529.091,780243771,11,0,0.970215,0.018311,0.069824,0.000000,nan,0.000000
RESpeckT5,20140625153529.091,780243771,12,0,0.979248,0.019043,0.071777,0.000000,nan,0.000000
RESpeckT5,20140625153529.091,780243771,13,0,0.970703,0.019043,0.070557,0.000000,nan,0.000000
RESpeckT5,20140625153529.096,780243771,14,0,0.975586,0.015869,0.070801,0.000000,nan,0.000000
RESpeckT5,20140625153529.096,780243771,15,0,0.972656,0.018555,0.070557,0.000000,nan,0.000000
RESpeckT5,20140625153529.096,780243771,16,0,0.974121,0.017822,0.070068,0.000000,nan,0.000000
RESpeckT5,20140625153529.112,780243771,17,0,0.976318,0.015869,0.073242,0.000000,nan,0.000000
RESpeckT5,20140625153529.112,780243771,18,0,0.972412,0.015381,0.070801,0.000000,nan,0.000000
RESpeckT5,20140625153529.112,780243771,19,0,0.974121,0.019287,0.067871,0.000000,nan,0.000000
RESpeckT5,20140625153529.124,780243771,20,0,0.972900,0.019287,0.069824,0.000000,nan,0.000000
RESpeckT5,20140625153529.124,780243771,21,0,0.975342,0.016602,0.071533,0.000000,nan,0.000000
RESpeckT5,20140625153529.124,780243771,22,0,0.975098,0.012695,0.069580,0.000000,nan,0.000000
RESpeckT5,20140625153529.131,780243771,23,0,0.974854,0.018066,0.066650,0.000000,nan,0.000000
RESpeckT5,20140625153529.131,780243771,24,0,0.972412,0.017334,0.071533,0.000000,nan,0.000000
RESpeckT5,20140625153529.131,780243771,25,0,0.978271,0.018311,0.072754,0.000000,nan,0.000000
RESpeckT5,20140625153529.137,780243771,26,0,0.970215,0.018066,0.073975,0.000000,nan,0.000000
RESpeckT5,20140625153529.137,780243771,27,0,0.974854,0.017090,0.073730,0.000000,nan,0.000000
RESpeckT5,20140625153529.137,780243771,28,0,0.972656,0.018311,0.072266,0.000000,nan,0.000000
RESpeckT5,20140625153529.143,780243771,29,0,0.973633,0.018555,0.073242,0.000000,nan,0.000000
RESpeckT5,20140625153529.143,780243771,30,0,0.973389,0.018066,0.071533,0.000000,nan,0.000000
RESpeckT5,20140625153529.143,780243771,31,0,0.973877,0.017578,0.072754,0.000000,nan,0.000000
RESpeckT5,20140625153531.605,780244253,0,0,0.974854,0.017334,0.072021,0.000000,nan,0.066593
RESpeckT5,20140625153531.605,780244253,1,0,0.974121,0.017822,0.072021,0.000000,nan,0.017605
RESpeckT5,20140625153531.632,780244253,2,0,0.972656,0.016846,0.073486,0.000000,nan,0.017605
RESpeckT5,20140625153531.632,780244253,3,0,0.972900,0.019775,0.073486,0.000000,nan,0.017605
RESpeckT5,20140625153531.632,780244253,4,0,0.973877,0.016113,0.074219,0.000000,nan,0.017605
RESpeckT5,20140625153531.638,780244253,5,0,0.972412,0.017090,0.072510,0.000000,nan,0.017605
RESpeckT5,20140625153531.638,780244253,6,0,0.975586,0.018555,0.073242,0.000000,nan,0.017605
RESpeckT5,20140625153531.638,780244253,7,0,0.974365,0.017334,0.076416,0.000000,nan,0.017605
RESpeckT5,20140625153531.648,780244253,8,0,0.974854,0.018066,0.077881,0.000000,nan,0.017605
RESpeckT5,20140625153531.648,780244253,9,0,0.975098,0.014893,0.081787,0.000000,nan,0.017605
RESpeckT5,20140625153531.648,780244253,10,0,0.971680,0.015625,0.078857,0.000000,nan,0.017605
RESpeckT5,20140625153531.657,780244253,11,0,0.975830,0.019775,0.076904,0.000000,nan,0.017605
RESpeckT5,20140625153531.657,780244253,12,0,0.971436,0.017090,0.075928,0.000000,nan,0.017605
RESpeckT5,20140625153531.657,780244253,13,0,0.974365,0.018555,0.074463,0.000000,nan,0.017605
RESpeckT5,20140625153531.664,780244253,14,0,0.974121,0.019287,0.077637,0.000000,nan,0.017605
RESpeckT5,20140625153531.664,780244253,15,0,0.970703,0.016602,0.078613,0.000000,nan,0.017605
RESpeckT5,20140625153531.664,780244253,16,0,0.973633,0.018799,0.078857,0.000000,nan,0.017605
RESpeckT5,20140625153531.670,780244253,17,0,0.971924,0.016357,0.079102,0.000000,nan,0.017605
RESpeckT5,20140625153531.670,780244253,18,0,0.974121,0.016846,0.078369,0.000000,nan,0.017605
RESpeckT5,20140625153531.670,780244253,19,0,0.972656,0.017822,0.081055,0.000000,nan,0.017605
RESpeckT5,20140625153531.680,780244253,20,0,0.971436,0.018066,0.081055,0.000000,nan,0.017605
RESpeckT5,20140625153531.680,780244253,21,0,0.973389,0.017334,0.077637,0.000000,nan,0.017605
RESpeckT5,20140625153531.680,780244253,22,0,0.971436,0.019043,0.082275,0.000000,nan,0.017605
RESpeckT5,20140625153531.687,780244253,23,0,0.975098,0.020508,0.083008,0.000000,nan,0.017605
RESpeckT5,20140625153531.687,780244253,24,0,0.971436,0.018311,0.086426,0.000000,nan,0.017605
RESpeckT5,20140625153531.687,780244253,25,0,0.975098,0.019775,0.082764,0.000000,nan,0.017605
RESpeckT5,20140625153531.693,780244253,26,0,0.973633,0.019531,0.084717,0.000000,nan,0.017605
RESpeckT5,20140625153531.693,780244253,27,0,0.973633,0.015381,0.083496,0.000000,nan,0.017605
RESpeckT5,20140625153531.693,780244253,28,0,0.974854,0.016846,0.083496,0.000000,nan,0.017605
RESpeckT5,20140625153531.702,780244253,29,0,0.972412,0.017090,0.085693,0.000000,nan,0.017605
RESpeckT5,20140625153531.702,780244253,30,0,0.973877,0.017822,0.084961,0.000000,nan,0.017605
RESpeckT5,20140625153531.702,780244253,31,0,0.974121,0.019775,0.086914,0.000000,nan,0.017605
RESpeckT5,20140625153534.122,780244674,0,0,0.973389,0.018311,0.083496,0.000000,nan,0.017605
RESpeckT5,20140625153534.122,780244674,1,0,0.975342,0.017822,0.084961,0.000000,nan,0.049795
RESpeckT5,20140625153534.136,780244674,2,0,0.971924,0.018311,0.084473,0.000000,nan,0.049795
RESpeckT5,20140625153534.136,780244674,3,0,0.970703,0.020020,0.090332,0.000000,nan,0.049795
RESpeckT5,20140625153534.136,780244674,4,0,0.974121,0.018555,0.082520,0.000000,nan,0.049795
RESpeckT5,20140625153534.144,780244674,5,0,0.973145,0.017578,0.090088,0.000000,nan,0.049795
RESpeckT5,20140625153534.144,780244674,6,0,0.969971,0.019775,0.089355,0.000000,nan,0.049795
RESpeckT5,20140625153534.144,780244674,7,0,0.971191,0.018799,0.093506,0.000000,nan,0.049795
RESpeckT5,20140625153534.151,780244674,8,0,0.971924,0.020508,0.092285,0.000000,nan,0.049795
RESpeckT5,20140625153534.151,780244674,9,0,0.975098,0.015625,0.089844,0.000000,nan,0.049795
RESpeckT5,20140625153534.151,780244674,10,0,0.970703,0.017334,0.091553,0.000000,nan,0.049795
RESpeckT5,20140625153534.160,780244674,11,0,0.973877,0.016602,0.091309,0.000000,nan,0.049795
RESpeckT5,20140625153534.160,780244674,12,0,0.972412,0.017090,0.089844,0.000000,nan,0.049795
RESpeckT5,20140625153534.160,780244674,13,0,0.974609,0.017090,0.090088,0.000000,nan,0.049795
RESpeckT5,20140625153534.169,780244674,14,0,0.974365,0.018066,0.088135,0.000000,nan,0.049795
RESpeckT5,20140625153534.169,780244674,15,0,0.972900,0.014893,0.086914,0.000000,nan,0.049795
RESpeckT5,20140625153534.169,780244674,16,0,0.974121,0.015869,0.085205,0.000000,nan,0.049795
RESpeckT5,20140625153534.184,780244674,17,0,0.976074,0.015625,0.086670,0.000000,nan,0.049795
RESpeckT5,20140625153534.184,780244674,18,0,0.975342,0.012939,0.090088,0.000000,nan,0.049795
