nodeID,seqNumber,status,gyroTick,gyroX,gyroY,gyroZ,accelTick,accelX,accelY,accelZ,magTick,magX,magY,magZ,currentTime
2,134,0,47826,-370,113,-11,47867,-1024,5120,-6576,46194,-406,412,-633,1393845809.663622
3,134,0,50517,-87,167,-141,50544,-2592,576,-8080,49563,-260,20,-681,1393845809.663641
2,135,0,49816,-376,115,5,49746,-1040,5056,-6512,48756,-408,409,-634,1393845809.663643
3,135,0,51517,-54,155,-139,52421,-2384,752,-8160,52141,-261,21,-678,1393845809.663645
2,136,0,51805,-289,115,18,51625,-1216,4800,-6288,51319,-405,404,-637,1393845809.663647
3,136,0,53516,-25,144,-135,54299,-2272,800,-8016,52141,-261,21,-678,1393845809.663660
2,137,0,53795,-220,117,35,53505,-1296,4880,-6032,53882,-404,401,-638,1393845809.663662
3,137,0,55516,-48,144,-129,56176,-2320,912,-7776,54720,-263,21,-675,1393845809.663663
2,138,0,55784,-210,125,34,55384,-1312,5184,-5888,53882,-404,401,-638,1393845809.663665
3,138,0,57515,-82,146,-141,58053,-2448,912,-7712,57299,-266,20,-676,1393845809.663667
2,139,0,56779,-233,142,28,57263,-1328,5312,-5872,56444,-407,400,-639,1393845809.663668
3,139,0,59514,-95,148,-156,59931,-2432,944,-7728,59878,-264,22,-675,1393845809.663670
2,140,0,58769,-307,153,17,59142,-1200,5312,-6016,59007,-407,395,-641,1393845809.663672
3,140,0,61513,-75,175,-171,61807,-2432,768,-7840,59878,-264,22,-675,1393845809.663673
2,141,0,60758,-337,157,-1,61022,-1072,5040,-6176,59007,-407,395,-641,1393845809.663675
3,141,0,63513,-21,192,-180,63685,-2384,720,-7840,62458,-261,24,-672,1393845809.663677
2,142,0,62747,-285,145,-5,62901,-1120,4816,-6320,61571,-402,389,-643,1393845809.663678
3,142,0,65512,43,198,-169,27,-2304,848,-7888,65037,-265,24,-670,1393845809.663680
2,143,0,64737,-184,128,-4,64780,-1152,4944,-6368,64135,-403,386,-643,1393845809.663682
3,143,0,976,63,192,-164,1905,-2416,1104,-8048,65037,-265,24,-670,1393845809.663683
2,144,0,1190,-78,112,0,1124,-1072,5024,-6512,1161,-405,385,-645,1393845809.663685
3,144,0,2975,61,185,-151,3783,-2496,1152,-8064,2079,-266,26,-671,1393845809.663687
2,145,0,3180,-39,89,-2,3003,-1072,5136,-6416,1161,-405,385,-645,1393845809.663689
3,145,0,4974,33,157,-148,5659,-2496,1104,-8112,4659,-263,27,-668,1393845809.663690
2,146,0,5169,-71,101,-5,4882,-1040,5104,-6240,3724,-405,384,-642,1393845809.663692
3,146,0,6974,42,139,-154,7537,-2464,976,-7712,7240,-269,31,-666,1393845809.663694
2,147,0,7159,-141,106,-20,6760,-1072,4880,-6112,6286,-401,382,-643,1393845809.663695
3,147,0,8973,82,120,-168,9414,-2528,816,-7408,7240,-269,31,-666,1393845809.663697
2,148,0,8153,-154,101,-31,8638,-1152,4784,-6096,8849,-404,382,-643,1393845809.663699
3,148,0,10972,115,101,-175,11292,-2624,912,-7584,9819,-269,32,-664,1393845809.663701
2,149,0,10143,-138,96,-26,10516,-1184,4960,-6032,8849,-404,382,-643,1393845809.663702
3,149,0,12972,156,108,-164,13170,-2496,1104,-7760,12398,-269,33,-665,1393845809.663704
2,150,0,12132,-79,91,-11,12394,-1088,5200,-5952,11412,-399,380,-647,1393845809.663706
3,150,0,14971,212,125,-147,15048,-2480,1408,-7888,14978,-271,36,-665,1393845809.663707
2,151,0,14122,-22,84,15,14273,-1056,5312,-5872,13975,-401,377,-642,1393845809.663709
3,151,0,15971,240,139,-131,16925,-2592,1664,-7888,14978,-271,36,-665,1393845809.663711
2,152,0,16111,1,64,55,16151,-1088,5424,-6048,13975,-401,377,-642,1393845809.663712
3,152,0,17970,277,159,-95,18802,-2704,1728,-7888,17559,-269,38,-664,1393845809.663714
2,153,0,18101,-27,45,101,18030,-1440,5296,-6224,16539,-400,376,-641,1393845809.663716
3,153,0,19969,274,157,-56,20679,-2752,1600,-7808,20140,-271,43,-663,1393845809.663718
2,154,0,20090,-84,25,131,19908,-1504,5200,-6400,19102,-399,374,-642,1393845809.663719
3,154,0,21968,242,151,-19,22557,-2576,1472,-7808,20140,-271,43,-663,1393845809.663721
2,155,0,22080,-160,19,156,21788,-1184,5200,-6400,21664,-402,371,-642,1393845809.663722
3,155,0,23968,150,129,13,24434,-2624,1568,-7952,22719,-271,46,-661,1393845809.663724
2,156,0,23074,-158,7,165,23667,-1072,4576,-6720,21664,-402,371,-642,1393845809.663726
3,156,0,25967,-106,86,33,26312,-2304,2064,-8096,25299,-274,47,-660,1393845809.663727
2,157,0,25064,-88,18,160,25546,-1040,4784,-6288,24227,-402,365,-645,1393845809.663729
3,157,0,27966,-287,62,60,28189,-2048,1504,-8000,27878,-273,44,-659,1393845809.663768
2,158,0,27053,-113,24,157,27424,-1120,4848,-6304,26789,-407,367,-646,1393845809.663770
3,158,0,29966,-378,53,98,30066,-2576,1168,-7744,27878,-273,44,-659,1393845809.663772
2,159,0,29043,-139,21,145,29303,-992,4672,-5984,29354,-401,359,-644,1393845809.663773
3,159,0,30965,-406,47,104,31944,-2688,1168,-7424,30457,-273,41,-658,1393845809.663775
2,160,0,31032,-234,0,128,31181,-1184,4752,-5920,29354,-401,359,-644,1393845809.663777
3,160,0,32965,-395,35,122,33821,-2592,1136,-7264,33037,-276,34,-660,1393845809.663778
2,161,0,33022,-299,-17,84,33060,-1264,4880,-6096,31917,-401,358,-646,1393845809.663780
3,161,0,34964,-376,43,127,35699,-2576,1184,-7568,35616,-271,30,-661,1393845809.663782
2,162,0,35011,-300,-35,77,34939,-1280,4960,-6304,34479,-401,356,-650,1393845809.663783
3,162,0,36963,-360,20,119,37577,-2560,1008,-7808,35616,-271,30,-661,1393845809.663785
2,163,0,37001,-235,-54,72,36817,-688,4784,-6096,37041,-401,357,-651,1393845809.663787
3,163,0,38963,-311,27,102,38985,-2624,848,-7808,38195,-271,27,-663,1393845809.663788
2,164,0,38990,-158,-65,64,38695,-1296,4880,-6496,37041,-401,357,-651,1393845809.663790
3,164,0,40962,-224,23,115,40863,-2560,688,-7712,40774,-273,23,-663,1393845809.663792
2,165,0,39985,-103,-47,87,40573,-1216,4752,-6352,39602,-405,353,-651,1393845809.663793
