nodeID,seqNumber,status,gyroTick,gyroX,gyroY,gyroZ,accelTick,accelX,accelY,accelZ,magTick,magX,magY,magZ,currentTime
2,137,0,33455,-1,-1,-42,33862,-3600,-1344,-7136,33772,-633,-202,-349,1395490445.234656
3,137,0,32244,-5,-46,-37,33069,-3360,2576,-7920,31277,-470,63,-322,1395490445.237970
2,138,0,35444,-92,12,-61,35742,-3584,-1424,-7008,33772,-633,-202,-349,1395490445.237979
3,138,0,34243,-35,-4,-21,34947,-3376,2416,-7872,33855,-469,66,-324,1395490445.237982
2,139,0,37433,-121,4,-58,37620,-3600,-1616,-6752,36334,-634,-208,-349,1395490445.237984
3,139,0,36242,-28,30,-10,36824,-3440,2320,-7680,36434,-468,62,-324,1395490445.237986
2,140,0,39423,-69,4,-49,39499,-3616,-1520,-6752,38897,-634,-200,-349,1395490445.237987
3,140,0,38241,14,25,-1,38702,-3440,2192,-7328,36434,-468,62,-324,1395490445.237989
2,141,0,41412,-7,-4,-48,41378,-3632,-1584,-6768,38897,-634,-200,-349,1395490445.237991
3,141,0,40240,40,40,4,40578,-3456,2048,-6992,39012,-470,61,-321,1395490445.237992
2,142,0,42406,12,1,-52,43256,-3664,-1344,-6784,41459,-633,-201,-351,1395490445.237994
3,142,0,42239,30,18,3,42456,-3440,2000,-6752,41591,-469,60,-321,1395490445.237996
2,143,0,44396,28,6,-59,45134,-3680,-1248,-7024,44020,-635,-204,-348,1395490445.237997
3,143,0,44239,20,-13,-5,44333,-3488,2016,-6736,44169,-469,63,-324,1395490445.237999
2,144,0,46385,11,16,-52,47013,-3664,-1216,-6848,46583,-635,-204,-346,1395490445.238001
3,144,0,46238,10,-38,-11,46210,-3488,1920,-6880,44169,-469,63,-324,1395490445.238003
2,145,0,48374,-14,7,-35,48892,-3648,-1296,-6880,46583,-635,-204,-346,1395490445.238004
3,145,0,48237,-13,-27,-24,48088,-3520,2048,-7120,46748,-471,63,-320,1395490445.238006
2,146,0,50363,-34,30,-40,50770,-3680,-1264,-6896,49145,-635,-203,-348,1395490445.238008
3,146,0,49236,-25,-32,-27,49965,-3408,2176,-7360,49326,-469,64,-323,1395490445.238010
2,147,0,52353,-84,16,-38,52648,-3696,-1280,-6704,51707,-636,-203,-347,1395490445.238011
3,147,0,51236,-66,-28,-38,51842,-3440,2304,-7552,51905,-472,62,-326,1395490445.238013
2,148,0,54342,-123,15,-33,54528,-3824,-1360,-6768,54270,-639,-204,-347,1395490445.238015
3,148,0,53235,-56,-17,-34,53720,-3440,2320,-7680,51905,-472,62,-326,1395490445.238017
2,149,0,56331,-101,14,-30,56406,-3584,-1696,-6512,54270,-639,-204,-347,1395490445.238018
3,149,0,55234,-68,0,-25,55597,-3328,2352,-7776,54483,-473,63,-320,1395490445.238020
2,150,0,57326,-71,6,-26,58284,-3728,-1104,-6064,56832,-640,-203,-343,1395490445.238022
3,150,0,57233,-45,14,-24,57474,-3360,2176,-7616,57061,-467,62,-323,1395490445.238023
2,151,0,59315,-10,-3,-26,60162,-3712,-1488,-6448,59396,-634,-205,-343,1395490445.238025
3,151,0,59232,29,18,-8,59351,-3456,2128,-7424,57061,-467,62,-323,1395490445.238027
2,152,0,61304,103,-6,-16,62039,-3616,-1408,-6576,61959,-636,-205,-345,1395490445.238028
3,152,0,61231,71,18,8,61228,-3408,2096,-7088,59639,-473,65,-323,1395490445.238030
2,153,0,63293,225,-19,-11,63917,-3680,-1296,-6816,61959,-636,-205,-345,1395490445.238032
3,153,0,63230,88,3,4,63105,-3456,2096,-7024,62218,-467,64,-324,1395490445.238034
2,154,0,65283,258,3,4,259,-3648,-1184,-6976,64521,-635,-203,-343,1395490445.238035
3,154,0,64230,106,-7,9,64983,-3376,2080,-6944,64796,-467,62,-318,1395490445.238037
2,155,0,1736,231,1,8,2138,-3664,-1264,-7280,1547,-635,-203,-348,1395490445.238039
3,155,0,693,122,-18,-1,1324,-3472,2080,-7072,64796,-467,62,-318,1395490445.238040
2,156,0,3725,183,17,10,3546,-3744,-1280,-7344,1547,-635,-203,-348,1395490445.238042
3,156,0,2692,114,-25,1,3201,-3440,2112,-7200,1839,-469,64,-323,1395490445.238044
2,157,0,5714,89,24,37,5425,-3648,-1200,-7328,4112,-640,-201,-347,1395490445.238046
3,157,0,4691,78,-29,-3,5079,-3440,2064,-7440,4417,-469,65,-324,1395490445.238047
2,158,0,7704,5,29,42,7303,-3696,-1392,-7056,6676,-637,-202,-350,1395490445.238049
3,158,0,6690,74,-22,-21,6956,-3424,2192,-7456,6996,-468,66,-319,1395490445.238051
