nodeID,seqNumber,status,gyroTick,gyroX,gyroY,gyroZ,accelTick,accelX,accelY,accelZ,magTick,magX,magY,magZ,currentTime
2,93,0,1123,77,-40,26,765,-3328,-3968,-6592,65448,-636,-282,-309,1395490270.409560
3,93,0,248,51,-25,-13,52,-3216,176,-8160,64177,-450,-28,-368,1395490270.409571
2,94,0,2118,70,-19,21,2643,-3456,-4080,-6704,2475,-633,-279,-312,1395490270.412873
3,94,0,1248,113,3,7,1928,-3296,32,-7840,1220,-449,-27,-366,1395490270.412883
2,95,0,4107,20,7,-13,4521,-3520,-4080,-6512,2475,-633,-279,-312,1395490270.412885
3,95,0,3247,113,26,15,3805,-3344,96,-7232,3799,-449,-26,-369,1395490270.412887
2,96,0,6096,-6,23,-25,6399,-3280,-3776,-6224,5036,-631,-279,-312,1395490270.412889
3,96,0,5246,-23,12,-10,5682,-3104,-32,-7232,3799,-449,-26,-369,1395490270.412891
2,97,0,8085,-66,23,-41,8277,-3472,-3600,-5984,7598,-631,-278,-311,1395490270.412893
3,97,0,7245,-82,-19,-11,7558,-3296,-176,-7728,6378,-451,-26,-372,1395490270.412894
2,98,0,10074,-79,25,-40,10155,-3520,-3552,-5808,10161,-632,-279,-309,1395490270.412896
3,98,0,9244,-7,-8,-18,9435,-3360,-112,-7856,8957,-452,-27,-365,1395490270.412898
2,99,0,12064,-24,6,-29,12033,-3504,-3584,-5728,10161,-632,-279,-309,1395490270.412900
3,99,0,11243,38,16,-29,11312,-3360,32,-7488,11536,-452,-26,-370,1395490270.412901
2,100,0,14053,61,7,-13,13911,-3392,-3568,-5712,12725,-632,-281,-312,1395490270.412903
3,100,0,13242,4,12,-27,13189,-3184,128,-7104,11536,-452,-26,-370,1395490270.412905
2,101,0,16042,30,-12,-17,15789,-3664,-3536,-5744,15289,-631,-280,-311,1395490270.412907
3,101,0,15241,-9,-19,-22,15066,-3344,208,-7216,14115,-451,-28,-369,1395490270.412909
2,102,0,18031,-45,-31,-27,17667,-3616,-3632,-5808,17852,-634,-278,-311,1395490270.412910
3,102,0,16241,6,-42,-17,16942,-3248,224,-7600,16693,-452,-28,-365,1395490270.412912
2,103,0,19026,-51,-37,-21,19545,-3488,-3648,-5872,17852,-634,-278,-311,1395490270.412914
3,103,0,18240,-18,-53,-23,18820,-3360,224,-8016,16693,-452,-28,-365,1395490270.412916
2,104,0,21015,31,-31,-13,21423,-3504,-3616,-6080,20414,-633,-282,-311,1395490270.412917
3,104,0,20239,-28,-9,-13,20697,-3328,96,-8000,19271,-452,-25,-370,1395490270.412919
2,105,0,23004,79,-25,-4,23302,-3536,-3616,-6256,22978,-631,-281,-313,1395490270.412921
3,105,0,22238,42,22,-2,22575,-3280,48,-7488,21850,-450,-27,-370,1395490270.412923
2,106,0,24994,56,-27,10,25182,-3472,-3856,-6352,25540,-635,-278,-312,1395490270.412924
3,106,0,24237,87,27,6,24452,-3280,32,-7072,24429,-448,-27,-369,1395490270.412926
2,107,0,26983,4,-16,4,27060,-3424,-4096,-6352,25540,-635,-278,-312,1395490270.412928
3,107,0,26236,25,-10,0,26329,-3296,-144,-7136,24429,-448,-27,-369,1395490270.412929
2,108,0,28972,-14,3,-19,28939,-3472,-3936,-6272,28102,-632,-278,-309,1395490270.412931
3,108,0,28236,-56,-18,-20,28206,-3392,-128,-7536,27008,-449,-24,-369,1395490270.412933
2,109,0,30961,-25,12,-27,30817,-3488,-3840,-6032,30665,-636,-279,-312,1395490270.412935
3,109,0,30235,-63,-20,-37,30083,-3296,128,-7840,29587,-451,-28,-372,1395490270.412936
2,110,0,32951,-47,8,-33,32695,-3536,-3728,-5808,30665,-636,-279,-312,1395490270.412938
3,110,0,32234,-25,0,-33,31960,-3232,304,-7840,32165,-452,-28,-368,1395490270.412940
2,111,0,34940,-32,-6,-40,34574,-3472,-3712,-5728,33228,-637,-280,-313,1395490270.412941
3,111,0,33233,-5,-1,-17,33838,-3216,64,-7680,32165,-452,-28,-368,1395490270.412943
2,112,0,35934,5,-18,-38,36453,-3520,-3600,-5856,35791,-632,-276,-309,1395490270.412945
3,112,0,35232,40,5,-5,35715,-3376,-128,-7600,34743,-451,-28,-371,1395490270.412946
2,113,0,37924,62,-23,-27,38332,-3520,-3472,-6112,38354,-636,-279,-314,1395490270.412948
3,113,0,37232,60,6,6,37592,-3344,-96,-7360,37323,-448,-28,-370,1395490270.412950
2,114,0,39913,28,-13,-15,40211,-3584,-3520,-6128,38354,-636,-279,-314,1395490270.412952
3,114,0,39231,6,1,-11,39470,-3296,48,-7200,37323,-448,-28,-370,1395490270.412953
2,115,0,41902,-34,-15,-22,42089,-3488,-3568,-6032,40917,-636,-280,-311,1395490270.412955
3,115,0,41230,-62,-14,-25,41347,-3248,128,-7328,39903,-451,-27,-370,1395490270.412957
2,116,0,43891,-26,-16,-23,43968,-3584,-3632,-5872,43480,-635,-280,-313,1395490270.412958
3,116,0,43229,-33,-24,-31,43225,-3296,240,-7600,42482,-449,-25,-368,1395490270.413002
2,117,0,45881,45,-22,-8,45847,-3600,-3776,-5968,46043,-630,-279,-313,1395490270.413005
3,117,0,45228,17,-41,-16,45103,-3312,256,-7824,45061,-451,-28,-371,1395490270.413007
2,118,0,47870,78,-24,-9,47726,-3456,-3744,-6048,46043,-630,-279,-313,1395490270.413009
3,118,0,47227,38,-2,-5,46980,-3360,112,-7792,45061,-451,-28,-371,1395490270.413010
2,119,0,49859,1,-18,-8,49604,-3440,-3824,-6112,48606,-635,-280,-314,1395490270.413012
3,119,0,48227,39,7,3,48858,-3264,0,-7520,47639,-453,-26,-373,1395490270.413014
2,120,0,50854,-20,-20,-10,51482,-3488,-3856,-6112,51169,-636,-278,-310,1395490270.413015
3,120,0,50226,22,2,6,50735,-3280,-32,-7280,50217,-451,-26,-365,1395490270.413017
2,121,0,52843,4,-22,-18,53361,-3520,-3712,-6096,51169,-636,-278,-310,1395490270.413019
3,121,0,52225,-29,-8,-15,52613,-3280,-80,-7424,52796,-450,-27,-370,1395490270.413021
2,122,0,54832,22,-10,-29,55240,-3488,-3616,-6096,53732,-633,-278,-312,1395490270.413022
3,122,0,54224,-18,-21,-14,54490,-3296,-16,-7568,52796,-450,-27,-370,1395490270.413024
2,123,0,56821,-15,-15,-29,57119,-3456,-3632,-6032,56295,-634,-278,-312,1395490270.413026
3,123,0,56223,1,-23,-22,56367,-3216,112,-7648,55375,-450,-31,-370,1395490270.413027
2,124,0,58811,-8,-11,-19,58998,-3504,-3728,-6032,58857,-634,-279,-310,1395490270.413029
3,124,0,58222,-10,-10,-15,58244,-3312,0,-7680,57952,-448,-25,-371,1395490270.413031
2,125,0,60800,41,-12,-18,60876,-3536,-3696,-6096,58857,-634,-279,-310,1395490270.413032
3,125,0,60221,16,-18,1,60121,-3264,-32,-7696,57952,-448,-25,-371,1395490270.413034
2,126,0,62789,9,-15,-17,62754,-3472,-3792,-6192,61420,-634,-282,-310,1395490270.413036
3,126,0,62220,27,-12,-18,61999,-3248,48,-7648,60530,-449,-27,-367,1395490270.413037
2,127,0,64778,-7,-7,-19,64633,-3360,-3808,-6144,63983,-635,-282,-314,1395490270.413039
3,127,0,63220,13,-18,-18,63876,-3264,-16,-7632,63109,-453,-26,-372,1395490270.413041
2,128,0,1232,7,6,-40,976,-3584,-3744,-6160,1010,-634,-275,-313,1395490270.413043
3,128,0,65219,-29,7,-25,217,-3360,-32,-7616,152,-451,-23,-367,1395490270.413044
2,129,0,2226,2,-3,-34,2853,-3536,-3664,-6048,1010,-634,-275,-313,1395490270.413046
3,129,0,1682,-9,4,-30,2095,-3248,96,-7440,152,-451,-23,-367,1395490270.413048
2,130,0,4215,-10,-6,-28,4731,-3488,-3648,-6032,3573,-634,-282,-308,1395490270.413050
3,130,0,3681,23,-20,-10,3972,-3280,112,-7392,2731,-449,-27,-369,1395490270.413051
2,131,0,6205,7,3,-27,6610,-3584,-3632,-5984,6136,-636,-282,-312,1395490270.413053
3,131,0,5680,1,-19,-18,5849,-3296,80,-7472,5309,-447,-26,-371,1395490270.413055
2,132,0,8194,10,-5,-24,8488,-3584,-3664,-5968,8699,-636,-277,-312,1395490270.413057
3,132,0,7679,-9,-15,-13,7726,-3344,32,-7648,7887,-451,-25,-367,1395490270.413058
2,133,0,10183,-2,-5,-28,10366,-3520,-3696,-5920,8699,-636,-277,-312,1395490270.413060
3,133,0,9679,3,-18,-21,9604,-3248,112,-7632,7887,-451,-25,-367,1395490270.413062
2,134,0,12172,-3,-11,-23,12243,-3440,-3568,-5920,11263,-634,-278,-307,1395490270.413063
3,134,0,11678,2,-8,-12,11481,-3248,144,-7520,10466,-446,-33,-370,1395490270.413065
2,135,0,14162,12,-15,-18,14121,-3536,-3632,-5984,13826,-631,-281,-313,1395490270.413067
3,135,0,12677,3,-5,-10,13359,-3264,80,-7504,13044,-448,-25,-370,1395490270.413069
2,136,0,16151,36,-21,-17,15998,-3456,-3776,-6048,13826,-631,-281,-313,1395490270.413070
