nodeID,seqNumber,status,gyroTick,gyroX,gyroY,gyroZ,accelTick,accelX,accelY,accelZ,magTick,magX,magY,magZ,currentTime
2,246,0,4890,8,-7,-30,5369,-3584,-5552,-4320,3123,-635,-346,-228,1395490753.39334
3,246,0,4023,32,-6,-20,4545,-3232,-1248,-7392,4872,-448,-80,-377,1395490753.39364
2,247,0,6879,0,-9,-17,7248,-3616,-5648,-4288,5684,-634,-353,-227,1395490753.39368
3,247,0,6022,40,3,-16,6423,-3328,-1200,-7248,4872,-448,-80,-377,1395490753.39372
2,248,0,8869,12,-5,-19,9127,-3520,-5648,-4288,8245,-637,-349,-229,1395490753.39375
3,248,0,8022,18,-8,-11,8301,-3280,-1168,-7232,7451,-449,-80,-372,1395490753.39378
2,249,0,10858,12,-11,-21,11006,-3536,-5648,-4320,10808,-636,-348,-227,1395490753.39381
3,249,0,10021,12,-11,-4,10179,-3232,-1168,-7264,10029,-446,-76,-375,1395490753.39385
2,250,0,12847,4,-9,-23,12884,-3552,-5712,-4368,10808,-636,-348,-227,1395490753.39388
3,250,0,12020,12,-15,-13,12057,-3280,-1328,-7296,10029,-446,-76,-375,1395490753.39391
2,251,0,13842,3,-11,-24,14763,-3536,-5648,-4384,13372,-638,-352,-225,1395490753.39394
3,251,0,14019,26,-15,-7,13935,-3312,-1376,-7376,12607,-446,-81,-372,1395490753.39397
2,252,0,15831,6,-15,-27,16641,-3488,-5552,-4320,15935,-638,-348,-228,1395490753.39400
3,252,0,16018,37,-24,-16,15813,-3232,-1264,-7344,15186,-450,-80,-374,1395490753.39403
2,253,0,17820,5,-12,-26,18521,-3520,-5616,-4368,18498,-634,-350,-228,1395490753.39407
3,253,0,18017,57,-8,-8,17691,-3232,-1312,-7424,17764,-449,-80,-371,1395490753.39410
2,254,0,19809,12,-19,-23,20400,-3584,-5680,-4416,18498,-634,-350,-228,1395490753.39413
3,254,0,19017,56,-9,-16,19569,-3248,-1280,-7424,17764,-449,-80,-371,1395490753.39416
2,255,0,21799,11,-7,-16,22279,-3520,-5680,-4480,21061,-637,-350,-227,1395490753.39419
3,255,0,21016,59,-10,-19,21447,-3264,-1216,-7408,20342,-447,-79,-375,1395490753.39422
2,0,0,23788,1,-10,-22,24157,-3568,-5632,-4368,23623,-635,-350,-231,1395490753.39425
3,0,0,23015,50,-1,-5,23325,-3232,-1232,-7408,22919,-450,-78,-375,1395490753.39428
2,1,0,25777,-8,2,-38,26035,-3536,-5552,-4304,23623,-635,-350,-231,1395490753.39431
3,1,0,25014,34,0,-9,25203,-3280,-1184,-7424,25498,-453,-77,-374,1395490753.39435
2,2,0,27766,-3,-3,-42,27913,-3600,-5488,-4272,26185,-634,-349,-227,1395490753.39438
3,2,0,27013,24,5,-13,27081,-3264,-1216,-7296,25498,-453,-77,-374,1395490753.39441
2,3,0,29756,14,-6,-26,29792,-3568,-5552,-4256,28748,-633,-348,-228,1395490753.39444
3,3,0,29012,19,1,3,28958,-3280,-1200,-7312,28077,-447,-77,-375,1395490753.39447
2,4,0,30750,17,-8,-20,31671,-3536,-5696,-4368,31313,-634,-351,-226,1395490753.39450
3,4,0,31012,22,-1,-4,30836,-3232,-1184,-7232,30656,-451,-77,-374,1395490753.39453
2,5,0,32740,17,-15,-18,33549,-3456,-5744,-4400,31313,-634,-351,-226,1395490753.39456
3,5,0,33011,21,-15,-3,32713,-3232,-1200,-7344,30656,-451,-77,-374,1395490753.39460
2,6,0,34729,14,-12,-22,35428,-3488,-5728,-4432,33874,-634,-347,-228,1395490753.39463
3,6,0,34010,17,-13,-16,34591,-3280,-1280,-7424,33236,-450,-77,-370,1395490753.39466
2,7,0,36718,8,-15,-33,37306,-3504,-5664,-4320,36438,-635,-350,-227,1395490753.39469
3,7,0,36009,16,-12,-7,36468,-3280,-1344,-7504,35815,-447,-76,-374,1395490753.39472
2,8,0,38707,10,-3,-26,39185,-3472,-5648,-4336,39000,-634,-351,-230,1395490753.39475
3,8,0,38009,23,2,-7,38345,-3248,-1280,-7472,38393,-450,-78,-373,1395490753.39478
2,9,0,40696,3,-2,-31,41064,-3536,-5600,-4384,39000,-634,-351,-230,1395490753.39493
3,9,0,40008,37,-1,-7,40223,-3280,-1360,-7440,38393,-450,-78,-373,1395490753.39497
2,10,0,42686,0,-15,-45,42942,-3600,-5568,-4368,41561,-633,-347,-228,1395490753.39500
3,10,0,42007,70,-1,-11,42101,-3296,-1184,-7392,40971,-450,-77,-372,1395490753.39503
2,11,0,44675,2,-7,-34,44821,-3520,-5584,-4304,44125,-633,-346,-228,1395490753.39527
3,11,0,44006,115,-8,-19,43978,-3280,-1088,-7280,43549,-449,-77,-371,1395490753.39539
2,12,0,46664,-3,-8,-26,46231,-3552,-5536,-4304,46689,-638,-352,-227,1395490753.39541
3,12,0,46005,127,-8,-19,45856,-3264,-1040,-7248,46128,-449,-78,-373,1395490753.39543
2,13,0,47659,1,-7,-32,48110,-3584,-5664,-4288,46689,-638,-352,-227,1395490753.39545
3,13,0,48004,103,-4,-9,47734,-3344,-1056,-7248,46128,-449,-78,-373,1395490753.39546
2,14,0,49648,15,-12,-30,49989,-3520,-5648,-4368,49253,-637,-349,-227,1395490753.39594
3,14,0,49004,87,-5,-9,49611,-3312,-1152,-7376,48707,-446,-76,-371,1395490753.39596
2,15,0,51637,23,-13,-11,51868,-3536,-5648,-4448,51815,-638,-348,-228,1395490753.39597
3,15,0,51003,42,-18,-9,51489,-3232,-1168,-7408,51285,-446,-75,-373,1395490753.39599
2,16,0,53627,0,-5,-15,53747,-3536,-5664,-4368,51815,-638,-348,-228,1395490753.39601
3,16,0,53002,-3,-9,-4,53367,-3312,-1248,-7424,51285,-446,-75,-373,1395490753.39602
2,17,0,55616,-6,-11,-28,55626,-3552,-5664,-4320,54377,-635,-349,-228,1395490753.39604
3,17,0,55001,-24,10,-1,55244,-3296,-1376,-7392,53864,-451,-75,-374,1395490753.39606
2,18,0,57605,15,-10,-27,57505,-3472,-5696,-4304,56939,-634,-350,-229,1395490753.39607
3,18,0,57000,-20,5,-10,57121,-3200,-1344,-7440,56443,-451,-76,-372,1395490753.39609
2,19,0,59594,13,-18,-24,59385,-3472,-5696,-4400,59501,-634,-351,-229,1395490753.39611
